,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
10392,84741458476792,2022,Krug-Bortuzzo,STL,pairing,5on5,24,4251.0,180.0,0.39,0.42,0.42,31.3,2.65,2.24,7.6,1.0,17.3,12.21,2.63,2.8,2.77,32.0,11.0,16.0,59.0,2.0,1.0,0.0,5.0,2.0,11.0,22.0,30.0,41.0,9.0,21.0,22.0,42.0,9.0,10.0,29.0,12.0,2.0,0.78,1.43,0.44,0.0,2.0,0.0,61.45,43.0,44.7,6.0,0.46,0.24,0.24,2.87,3.03,3.0,42.55,4.08,2.96,10.64,1.46,22.98,16.88,3.98,4.06,3.96,43.0,16.0,24.0,83.0,3.0,4.0,1.0,7.0,3.0,24.0,18.0,40.0,56.0,3.0,9.0,42.0,36.0,8.0,10.0,40.0,15.0,4.0,1.27,1.72,1.08,0.0,2.0,1.0,80.89,59.0,58.23,8.0,0.62,0.62,0.62,4.07,4.07,3.99
8487,84751818478859,2022,Leddy-Mikkola,STL,pairing,5on5,39,5117.0,322.0,0.45,0.44,0.48,42.27,3.42,2.7,10.24,1.41,21.9,17.32,3.35,3.56,3.48,46.0,11.0,9.0,66.0,6.0,4.0,0.0,9.0,1.0,16.0,21.0,40.0,51.0,4.0,8.0,36.0,30.0,13.0,16.0,45.0,9.0,3.0,1.47,0.94,1.02,6.0,0.0,0.0,68.91,57.0,59.06,6.0,0.55,0.96,0.96,3.02,3.08,3.06,44.02,4.11,2.91,10.66,1.5,23.64,18.18,4.0,4.13,4.03,46.0,15.0,22.0,83.0,7.0,3.0,0.0,11.0,0.0,24.0,16.0,39.0,54.0,4.0,8.0,24.0,23.0,10.0,13.0,41.0,15.0,5.0,1.08,1.81,1.21,3.0,2.0,2.0,81.3,61.0,60.6,7.0,0.61,0.77,0.77,3.94,3.94,3.9
9738,84746188476892,2022,Scandella-Parayko,STL,pairing,5on5,17,3217.0,127.0,0.38,0.38,0.36,11.75,1.02,0.8,2.56,0.34,6.5,4.78,1.01,1.05,1.04,12.0,4.0,11.0,27.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,12.0,16.0,1.0,2.0,21.0,23.0,7.0,5.0,10.0,5.0,1.0,0.25,0.57,0.2,0.0,0.0,0.0,27.1,16.0,16.37,3.0,0.16,0.0,0.0,1.19,1.22,1.21,20.54,1.7,1.34,5.5,0.7,10.61,8.16,1.68,1.71,1.69,18.0,10.0,17.0,45.0,2.0,0.0,0.0,9.0,2.0,8.0,7.0,16.0,26.0,3.0,6.0,28.0,16.0,12.0,6.0,20.0,8.0,0.0,0.66,1.04,0.0,1.0,1.0,0.0,44.62,28.0,28.05,3.0,0.28,0.0,0.0,1.98,2.0,1.97
2984,84757538478407,2020,Dunn-Faulk,STL,pairing,5on5,38,4554.0,239.0,0.52,0.61,0.59,41.63,2.64,2.61,10.39,1.36,24.01,17.99,2.59,2.56,2.51,43.0,16.0,25.0,84.0,3.0,3.0,0.0,3.0,0.0,28.0,22.0,40.0,56.0,6.0,12.0,20.0,24.0,7.0,5.0,51.0,7.0,1.0,1.55,0.8,0.29,1.0,2.0,0.0,82.51,59.0,57.58,2.0,0.53,0.47,0.47,2.7,2.63,2.59,29.22,2.44,1.8,7.42,1.01,16.18,12.15,2.41,2.45,2.42,28.0,13.0,12.0,53.0,2.0,2.0,0.0,6.0,1.0,14.0,16.0,26.0,39.0,7.0,14.0,19.0,20.0,11.0,10.0,31.0,9.0,1.0,0.89,1.14,0.42,1.0,1.0,0.0,54.91,41.0,42.19,6.0,0.37,0.44,0.44,2.37,2.43,2.41
4325,84767928478013,2020,Krug-Walman,STL,pairing,5on5,6,1170.0,41.0,0.12,0.18,0.19,4.07,0.24,0.26,1.0,0.12,2.61,1.77,0.24,0.23,0.23,5.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,6.0,2.0,4.0,10.0,10.0,1.0,4.0,5.0,1.0,0.0,0.15,0.09,0.0,0.0,0.0,0.0,7.22,6.0,6.05,2.0,0.05,0.0,0.0,0.29,0.29,0.29,18.09,1.81,1.29,4.77,0.64,9.58,6.91,1.7,1.84,1.73,13.0,12.0,7.0,32.0,1.0,4.0,1.0,2.0,1.0,11.0,6.0,12.0,24.0,1.0,2.0,8.0,8.0,2.0,4.0,17.0,6.0,2.0,0.48,0.84,0.5,0.0,0.0,1.0,31.24,25.0,24.86,3.0,0.27,0.77,0.77,1.31,1.31,1.28
10328,84741458474618,2022,Scandella-Bortuzzo,STL,pairing,5on5,11,1752.0,85.0,0.54,0.53,0.5,13.49,1.41,1.08,2.94,0.39,7.31,4.86,1.37,1.4,1.35,16.0,2.0,5.0,23.0,3.0,1.0,0.0,2.0,0.0,7.0,5.0,13.0,15.0,0.0,0.0,13.0,12.0,4.0,7.0,11.0,5.0,2.0,0.23,0.69,0.49,1.0,2.0,0.0,22.56,18.0,17.78,3.0,0.23,0.23,0.23,1.41,1.4,1.36,12.48,1.21,0.79,3.27,0.43,7.02,5.28,1.19,1.2,1.18,14.0,4.0,2.0,20.0,0.0,0.0,0.0,5.0,0.0,4.0,9.0,14.0,18.0,1.0,2.0,15.0,10.0,6.0,5.0,13.0,5.0,0.0,0.45,0.76,0.0,0.0,0.0,0.0,20.04,18.0,17.93,2.0,0.17,0.0,0.0,1.38,1.37,1.35
4326,84746188476892,2020,Scandella-Parayko,STL,pairing,5on5,21,7825.0,91.0,0.42,0.42,0.4,45.32,3.41,2.95,11.41,1.57,26.15,18.51,3.34,3.43,3.36,51.0,13.0,26.0,90.0,5.0,1.0,1.0,9.0,2.0,18.0,29.0,46.0,59.0,10.0,20.0,85.0,51.0,19.0,18.0,50.0,13.0,1.0,1.33,1.8,0.28,3.0,2.0,0.0,90.67,64.0,64.18,9.0,0.61,0.19,0.19,3.83,3.82,3.77,70.02,4.66,4.13,17.93,2.3,39.41,29.56,4.54,4.54,4.42,67.0,31.0,28.0,126.0,4.0,4.0,1.0,23.0,3.0,35.0,29.0,63.0,94.0,6.0,12.0,56.0,50.0,17.0,28.0,83.0,12.0,3.0,2.13,1.46,1.08,2.0,1.0,1.0,125.16,98.0,97.47,16.0,0.84,0.91,0.91,4.59,4.54,4.47
5229,84741458481059,2021,Perunovich-Bortuzzo,STL,pairing,5on5,13,4659.0,66.0,0.48,0.51,0.5,33.17,2.64,2.14,7.81,1.21,18.36,13.84,2.58,2.59,2.54,35.0,11.0,16.0,62.0,0.0,2.0,0.0,5.0,1.0,16.0,22.0,35.0,46.0,7.0,14.0,22.0,26.0,9.0,6.0,36.0,9.0,1.0,1.23,1.15,0.26,0.0,0.0,0.0,62.15,46.0,45.82,5.0,0.44,0.4,0.4,2.68,2.62,2.6,33.02,2.89,2.14,7.38,1.1,18.24,14.25,2.87,3.0,2.97,36.0,10.0,13.0,59.0,2.0,2.0,0.0,8.0,1.0,14.0,19.0,34.0,44.0,7.0,16.0,34.0,24.0,10.0,7.0,34.0,10.0,2.0,1.03,1.22,0.65,1.0,1.0,0.0,60.39,46.0,47.16,7.0,0.44,0.65,0.65,2.69,2.79,2.78
9419,84751818475753,2022,Leddy-Faulk,STL,pairing,5on5,71,15086.0,438.0,0.47,0.44,0.44,108.56,10.26,7.78,25.34,3.52,59.5,43.61,9.93,10.2,9.88,109.0,41.0,52.0,202.0,14.0,9.0,1.0,23.0,4.0,40.0,60.0,95.0,136.0,14.0,33.0,87.0,102.0,28.0,42.0,102.0,37.0,11.0,3.05,4.56,2.64,6.0,6.0,2.0,200.58,150.0,149.17,28.0,1.61,1.91,1.91,9.96,9.92,9.81,136.15,11.38,9.2,32.74,4.57,77.14,56.96,10.96,11.52,11.11,133.0,59.0,64.0,256.0,12.0,12.0,1.0,34.0,4.0,72.0,58.0,121.0,180.0,17.0,37.0,98.0,60.0,51.0,42.0,151.0,30.0,11.0,4.59,3.86,2.93,3.0,8.0,1.0,261.49,192.0,194.49,29.0,1.88,2.69,2.69,10.58,10.75,10.55
10351,84768928480157,2022,Rosen-Parayko,STL,pairing,5on5,37,4522.0,251.0,0.42,0.46,0.49,36.98,2.74,2.47,9.0,1.21,21.7,15.88,2.7,2.76,2.72,35.0,18.0,15.0,68.0,3.0,2.0,1.0,10.0,1.0,22.0,15.0,32.0,50.0,6.0,12.0,21.0,26.0,12.0,12.0,43.0,8.0,2.0,1.26,0.9,0.58,2.0,0.0,1.0,67.06,53.0,52.4,9.0,0.5,0.58,0.58,2.66,2.65,2.62,40.56,3.75,2.79,10.17,1.31,21.9,16.07,3.66,3.82,3.72,42.0,14.0,25.0,81.0,2.0,4.0,0.0,9.0,2.0,11.0,28.0,40.0,54.0,7.0,14.0,35.0,30.0,16.0,14.0,40.0,13.0,3.0,1.13,1.84,0.78,1.0,1.0,0.0,84.25,56.0,57.24,8.0,0.58,0.81,0.81,3.52,3.57,3.5
