,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
1934,84735608478425,2019,Guhle-Holzer,ANA,pairing,5on5,18,8673.0,79.0,0.4,0.43,0.44,50.64,3.02,3.13,12.41,1.67,29.13,22.64,2.98,3.06,3.02,47.0,25.0,29.0,101.0,4.0,2.0,1.0,7.0,1.0,20.0,38.0,43.0,68.0,11.0,28.0,59.0,67.0,21.0,28.0,62.0,9.0,1.0,1.51,1.28,0.23,2.0,1.0,1.0,99.85,72.0,71.5,13.0,0.64,0.38,0.42,3.23,3.27,3.25,63.58,4.53,4.33,15.77,2.18,37.51,27.67,4.43,4.57,4.46,65.0,27.0,41.0,133.0,4.0,5.0,2.0,14.0,4.0,40.0,25.0,61.0,88.0,9.0,24.0,61.0,60.0,11.0,24.0,77.0,12.0,3.0,2.3,1.41,0.83,0.0,3.0,1.0,133.11,92.0,91.68,14.0,0.89,0.93,0.93,4.48,4.52,4.45
11505,84809508482803,2023,Lyubushkin-Zellweger,ANA,pairing,5on5,1,638.0,3.0,0.12,0.32,0.27,2.94,0.13,0.13,1.02,0.09,1.51,1.12,0.13,0.13,0.13,2.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,3.0,1.0,4.0,4.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,7.44,4.0,4.1,2.0,0.03,0.0,0.0,0.15,0.15,0.15,8.26,0.92,0.51,2.07,0.24,4.2,3.06,0.92,0.91,0.91,6.0,5.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,6.0,11.0,1.0,2.0,7.0,8.0,1.0,0.0,8.0,1.0,2.0,0.13,0.09,0.7,0.0,0.0,0.0,13.96,11.0,10.62,0.0,0.11,0.0,0.0,1.03,1.02,1.01
11507,84828038483490,2023,Mintyukov-Zellweger,ANA,pairing,5on5,13,876.0,102.0,0.76,0.63,0.63,9.4,0.89,0.58,1.81,0.25,4.51,3.97,0.87,0.87,0.86,8.0,4.0,3.0,15.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,7.0,11.0,1.0,2.0,3.0,8.0,2.0,2.0,9.0,2.0,1.0,0.35,0.27,0.27,1.0,0.0,0.0,14.25,12.0,11.57,0.0,0.12,0.27,0.27,0.74,0.73,0.72,5.17,0.28,0.28,1.12,0.15,2.59,2.58,0.28,0.29,0.29,6.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,6.0,1.0,2.0,3.0,8.0,1.0,0.0,6.0,1.0,0.0,0.16,0.13,0.0,1.0,0.0,0.0,9.53,7.0,7.34,0.0,0.06,0.0,0.0,0.34,0.34,0.34
4947,84811228482142,2021,Benoit-Drysdale,ANA,pairing,5on5,24,863.0,189.0,0.32,0.25,0.26,5.65,0.7,0.33,1.29,0.19,2.3,2.19,0.63,0.69,0.62,6.0,1.0,3.0,10.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,6.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,1.0,2.0,0.1,0.09,0.51,0.0,0.0,0.0,9.79,7.0,6.94,1.0,0.07,0.21,0.21,0.57,0.56,0.54,14.67,1.47,0.91,3.45,0.49,7.65,6.03,1.44,1.53,1.5,14.0,6.0,10.0,30.0,2.0,2.0,0.0,3.0,0.0,7.0,6.0,12.0,18.0,0.0,0.0,0.0,7.0,5.0,2.0,15.0,3.0,2.0,0.37,0.34,0.77,1.0,0.0,1.0,31.29,20.0,20.95,1.0,0.19,0.48,0.48,1.18,1.24,1.22
4949,84768548479372,2021,Lindholm-Mahura,ANA,pairing,5on5,10,660.0,62.0,0.88,0.83,0.78,4.79,0.31,0.3,0.94,0.16,2.91,2.39,0.31,0.29,0.29,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,0.0,0.12,0.19,0.0,0.0,0.0,0.0,9.76,7.0,6.88,1.0,0.06,0.0,0.0,0.37,0.35,0.35,1.47,0.04,0.08,0.42,0.04,0.8,0.61,0.04,0.04,0.04,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.15,2.0,2.12,0.0,0.01,0.0,0.0,0.06,0.06,0.06
13164,84754628480001,2023,Vaakanainen-Gudas,ANA,pairing,5on5,47,29527.0,148.0,0.52,0.5,0.51,244.62,18.71,14.85,62.76,8.16,131.35,100.18,18.2,18.78,18.29,227.0,109.0,133.0,469.0,26.0,23.0,2.0,52.0,0.0,125.0,110.0,201.0,310.0,56.0,127.0,241.0,287.0,43.0,52.0,270.0,45.0,21.0,6.84,5.74,6.13,10.0,10.0,6.0,465.74,336.0,333.83,30.0,3.06,5.36,5.22,16.55,16.66,16.39,235.12,17.0,14.62,59.37,7.62,129.07,98.33,16.62,17.38,17.0,226.0,100.0,139.0,465.0,21.0,14.0,1.0,53.0,1.0,120.0,117.0,205.0,305.0,47.0,109.0,214.0,183.0,42.0,66.0,261.0,54.0,11.0,7.45,6.57,2.97,9.0,10.0,2.0,474.79,326.0,331.26,37.0,3.02,2.2,2.2,17.81,18.24,17.96
457,84745848477043,2019,Del Zotto-Djoos,ANA,pairing,5on5,7,1040.0,37.0,0.65,0.71,0.73,11.3,0.79,0.71,3.0,0.39,6.42,4.68,0.78,0.8,0.79,10.0,6.0,9.0,25.0,1.0,3.0,1.0,2.0,0.0,5.0,5.0,9.0,15.0,0.0,0.0,5.0,5.0,1.0,6.0,13.0,2.0,1.0,0.25,0.28,0.27,0.0,1.0,0.0,23.75,16.0,15.52,4.0,0.15,0.48,0.48,0.46,0.44,0.44,4.01,0.43,0.26,0.94,0.15,2.48,1.73,0.43,0.43,0.43,6.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,6.0,6.0,1.0,2.0,9.0,8.0,1.0,6.0,4.0,2.0,0.0,0.12,0.31,0.0,0.0,0.0,0.0,10.56,6.0,6.16,5.0,0.06,0.0,0.0,0.49,0.48,0.48
447,84735608474584,2019,Del Zotto-Holzer,ANA,pairing,5on5,18,3894.0,94.0,0.34,0.43,0.45,29.95,1.84,1.78,6.96,0.9,17.47,13.06,1.8,1.93,1.89,31.0,11.0,8.0,50.0,2.0,1.0,1.0,8.0,1.0,12.0,18.0,29.0,40.0,5.0,13.0,27.0,31.0,5.0,13.0,33.0,8.0,1.0,0.79,0.74,0.32,0.0,1.0,1.0,51.24,42.0,42.89,7.0,0.36,0.32,0.32,1.88,1.95,1.92,37.27,3.5,2.52,8.8,1.23,20.45,14.5,3.36,3.44,3.29,36.0,15.0,14.0,65.0,1.0,4.0,1.0,9.0,1.0,13.0,23.0,35.0,50.0,3.0,9.0,18.0,23.0,5.0,18.0,38.0,8.0,5.0,1.24,0.96,1.3,0.0,0.0,1.0,64.99,51.0,50.82,12.0,0.52,1.07,1.07,2.95,2.9,2.88
7582,84740318478425,2021,Guhle-Shattenkirk,ANA,pairing,5on5,5,1121.0,28.0,0.58,0.5,0.53,6.46,0.52,0.47,1.67,0.23,3.69,2.43,0.5,0.48,0.47,8.0,1.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,1.0,2.0,12.0,9.0,1.0,4.0,6.0,3.0,0.0,0.16,0.36,0.0,0.0,1.0,0.0,11.29,9.0,8.52,2.0,0.1,0.0,0.0,0.61,0.58,0.56,5.23,0.37,0.38,1.32,0.21,3.19,2.52,0.37,0.39,0.39,5.0,3.0,4.0,12.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,5.0,8.0,1.0,2.0,3.0,9.0,3.0,0.0,7.0,1.0,0.0,0.27,0.1,0.0,0.0,0.0,0.0,12.7,8.0,8.41,0.0,0.08,0.0,0.0,0.45,0.47,0.47
13245,84774628480950,2023,Hagg-Lyubushkin,ANA,pairing,5on5,2,1326.0,6.0,0.38,0.38,0.4,7.59,0.53,0.49,1.93,0.25,3.74,3.06,0.52,0.55,0.54,6.0,4.0,4.0,14.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,6.0,10.0,5.0,13.0,12.0,22.0,2.0,4.0,9.0,0.0,1.0,0.19,0.0,0.34,0.0,0.0,0.0,13.83,10.0,9.9,3.0,0.1,0.37,0.37,0.26,0.26,0.26,10.74,0.85,0.68,2.61,0.36,6.19,4.3,0.8,0.86,0.81,10.0,5.0,8.0,23.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,8.0,13.0,7.0,17.0,3.0,14.0,6.0,1.0,11.0,3.0,1.0,0.23,0.33,0.29,1.0,0.0,1.0,23.79,15.0,15.36,0.0,0.14,0.29,0.29,0.7,0.7,0.7
2561,84779388479372,2020,Fleury-Mahura,ANA,pairing,5on5,1,750.0,2.0,0.46,0.58,0.56,6.59,0.44,0.38,1.71,0.2,3.65,2.61,0.44,0.46,0.46,4.0,5.0,6.0,15.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,9.0,0.0,0.0,5.0,5.0,0.0,2.0,7.0,2.0,0.0,0.13,0.31,0.0,0.0,0.0,0.0,15.37,9.0,9.14,2.0,0.08,0.0,0.0,0.52,0.54,0.54,4.83,0.52,0.38,1.15,0.2,2.76,1.99,0.52,0.52,0.51,4.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,7.0,0.0,0.0,4.0,4.0,1.0,2.0,4.0,3.0,0.0,0.14,0.38,0.0,0.0,0.0,0.0,10.89,7.0,7.07,2.0,0.08,0.0,0.0,0.6,0.59,0.59
7635,84746888479372,2021,Mahura-Pateryn,ANA,pairing,5on5,3,1558.0,9.0,0.69,0.54,0.61,17.57,1.94,1.08,4.21,0.55,8.8,6.42,1.85,2.04,1.95,17.0,6.0,5.0,28.0,1.0,3.0,0.0,5.0,1.0,6.0,7.0,16.0,22.0,3.0,6.0,9.0,22.0,3.0,5.0,15.0,5.0,3.0,0.39,0.67,0.88,0.0,1.0,0.0,29.42,23.0,24.27,2.0,0.23,0.88,0.88,1.29,1.35,1.33,10.08,0.89,0.67,2.23,0.35,6.18,4.69,0.88,0.87,0.87,9.0,6.0,9.0,24.0,2.0,0.0,0.0,2.0,0.0,5.0,6.0,7.0,13.0,1.0,2.0,15.0,13.0,5.0,4.0,11.0,4.0,0.0,0.41,0.47,0.0,0.0,2.0,0.0,22.83,15.0,14.29,3.0,0.14,0.0,0.0,1.03,1.01,1.0
3329,84740318476407,2020,Shattenkirk-Welinski,ANA,pairing,5on5,7,2543.0,37.0,0.47,0.53,0.49,17.34,1.1,0.93,4.53,0.53,9.34,7.57,1.08,1.12,1.1,16.0,8.0,9.0,33.0,1.0,0.0,0.0,3.0,1.0,5.0,14.0,15.0,23.0,4.0,8.0,19.0,13.0,6.0,0.0,20.0,2.0,2.0,0.47,0.17,0.45,1.0,0.0,0.0,32.48,24.0,23.71,0.0,0.19,0.0,0.0,1.28,1.3,1.29,18.18,1.23,1.1,4.0,0.54,10.22,7.92,1.23,1.2,1.2,19.0,6.0,4.0,29.0,0.0,0.0,0.0,5.0,0.0,5.0,15.0,19.0,25.0,2.0,4.0,23.0,9.0,5.0,9.0,20.0,4.0,1.0,0.56,0.42,0.24,0.0,0.0,0.0,29.11,25.0,25.01,6.0,0.22,0.0,0.0,1.45,1.42,1.42
11492,84757648480001,2023,Fowler-Vaakanainen,ANA,pairing,5on5,48,11327.0,283.0,0.41,0.44,0.44,73.97,4.74,4.31,19.05,2.54,40.28,32.09,4.62,4.69,4.57,69.0,34.0,36.0,139.0,3.0,4.0,0.0,20.0,0.0,31.0,45.0,66.0,100.0,15.0,33.0,83.0,59.0,14.0,23.0,89.0,10.0,4.0,2.12,1.37,1.24,3.0,0.0,0.0,139.0,103.0,102.43,9.0,0.88,1.0,1.0,4.63,4.57,4.5,94.42,6.79,5.89,23.37,3.05,53.5,39.39,6.59,6.96,6.76,83.0,49.0,47.0,179.0,4.0,6.0,1.0,18.0,0.0,45.0,59.0,79.0,128.0,13.0,29.0,90.0,60.0,17.0,29.0,105.0,24.0,3.0,3.04,2.94,0.82,1.0,2.0,1.0,183.57,132.0,135.36,17.0,1.21,0.83,0.83,7.18,7.34,7.18
4943,84740318475764,2021,Fowler-Shattenkirk,ANA,pairing,5on5,76,20585.0,348.0,0.54,0.52,0.53,175.84,15.13,11.17,40.73,5.74,93.05,75.17,14.64,15.04,14.56,170.0,71.0,69.0,310.0,20.0,16.0,5.0,40.0,4.0,65.0,96.0,150.0,221.0,16.0,38.0,138.0,122.0,38.0,53.0,180.0,46.0,15.0,5.33,5.74,4.05,6.0,7.0,7.0,305.19,241.0,238.01,28.0,2.31,3.34,3.52,13.93,13.94,13.74,154.57,12.89,10.5,35.24,4.87,88.03,64.48,12.61,12.84,12.57,163.0,53.0,76.0,292.0,12.0,9.0,2.0,38.0,10.0,62.0,85.0,151.0,204.0,19.0,44.0,174.0,108.0,31.0,72.0,161.0,49.0,6.0,5.14,6.04,1.71,5.0,5.0,2.0,290.75,216.0,215.6,35.0,2.17,2.02,2.02,13.05,12.97,12.78
1341,84735608475764,2019,Fowler-Holzer,ANA,pairing,5on5,23,1439.0,162.0,0.49,0.41,0.34,8.0,1.09,0.63,1.93,0.24,3.55,2.57,1.09,1.08,1.08,8.0,2.0,8.0,18.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,7.0,9.0,2.0,4.0,5.0,7.0,1.0,5.0,5.0,3.0,2.0,0.12,0.36,0.61,1.0,0.0,0.0,17.49,10.0,9.77,4.0,0.13,0.39,0.39,0.83,0.82,0.82,13.07,1.15,1.08,3.23,0.47,8.04,5.03,1.11,1.19,1.15,10.0,9.0,7.0,26.0,1.0,0.0,0.0,1.0,2.0,8.0,7.0,9.0,18.0,1.0,2.0,14.0,8.0,0.0,2.0,15.0,3.0,1.0,0.58,0.37,0.21,0.0,0.0,1.0,26.55,19.0,19.32,1.0,0.22,0.0,0.0,1.38,1.41,1.36
1258,84757648476854,2019,Lindholm-Fowler,ANA,pairing,5on5,24,987.0,173.0,0.57,0.58,0.67,6.94,0.35,0.44,1.83,0.23,4.18,2.97,0.35,0.33,0.33,7.0,3.0,5.0,15.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,7.0,10.0,1.0,5.0,4.0,5.0,2.0,1.0,9.0,1.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0,14.59,10.0,9.74,0.0,0.09,0.0,0.0,0.44,0.41,0.41,3.56,0.27,0.23,0.74,0.1,2.2,1.46,0.27,0.26,0.26,4.0,1.0,6.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,5.0,2.0,7.0,4.0,5.0,0.0,3.0,4.0,1.0,0.0,0.18,0.09,0.0,0.0,0.0,0.0,11.46,5.0,5.04,1.0,0.05,0.0,0.0,0.31,0.31,0.31
13029,84801848481605,2023,Lacombe-Lindstrom,ANA,pairing,5on5,16,5377.0,77.0,0.59,0.48,0.5,40.8,4.11,2.64,10.21,1.34,21.26,15.43,3.93,4.2,4.0,37.0,18.0,21.0,76.0,7.0,5.0,1.0,10.0,0.0,15.0,18.0,30.0,48.0,7.0,17.0,45.0,35.0,9.0,10.0,40.0,11.0,4.0,1.3,1.48,1.32,3.0,3.0,1.0,76.73,55.0,55.99,7.0,0.55,1.31,1.35,3.31,3.35,3.25,40.47,2.9,2.48,10.72,1.45,21.35,16.1,2.85,2.88,2.83,39.0,16.0,26.0,81.0,1.0,4.0,0.0,10.0,0.0,23.0,17.0,38.0,54.0,8.0,19.0,56.0,39.0,11.0,14.0,42.0,12.0,1.0,1.01,1.52,0.38,0.0,1.0,0.0,80.22,55.0,54.45,7.0,0.51,0.6,0.6,2.82,2.81,2.77
6598,84763128478425,2021,Guhle-Manson,ANA,pairing,5on5,1,874.0,2.0,0.34,0.36,0.45,5.61,0.37,0.35,1.38,0.21,3.82,2.87,0.36,0.38,0.37,5.0,4.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,5.0,9.0,0.0,0.0,4.0,9.0,1.0,1.0,8.0,1.0,0.0,0.25,0.13,0.0,0.0,0.0,0.0,10.04,9.0,8.94,0.0,0.07,0.0,0.0,0.44,0.45,0.44,7.98,0.73,0.47,2.02,0.26,4.49,3.03,0.72,0.7,0.7,11.0,0.0,7.0,18.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,11.0,11.0,0.0,0.0,5.0,8.0,2.0,2.0,9.0,1.0,1.0,0.22,0.11,0.4,0.0,0.0,0.0,18.06,11.0,10.98,2.0,0.1,0.4,0.4,0.43,0.41,0.41
6607,84768548481122,2021,Lindholm-Benoit,ANA,pairing,5on5,17,931.0,120.0,0.49,0.53,0.55,11.28,1.06,0.86,2.85,0.37,6.37,4.5,1.05,1.07,1.07,11.0,5.0,4.0,20.0,1.0,2.0,0.0,0.0,0.0,6.0,7.0,10.0,15.0,3.0,6.0,1.0,7.0,0.0,4.0,12.0,2.0,2.0,0.37,0.26,0.43,0.0,1.0,0.0,20.62,16.0,16.49,2.0,0.18,0.06,0.06,1.18,1.2,1.19,9.44,1.1,0.78,2.14,0.3,5.22,3.47,1.09,1.1,1.09,11.0,2.0,5.0,18.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,11.0,13.0,0.0,0.0,2.0,12.0,1.0,3.0,7.0,5.0,1.0,0.25,0.58,0.27,0.0,0.0,0.0,18.14,13.0,12.88,2.0,0.16,0.13,0.13,1.13,1.13,1.13
9063,84757648480001,2022,Fowler-Vaakanainen,ANA,pairing,5on5,15,1376.0,125.0,0.54,0.39,0.38,9.15,0.9,0.58,2.16,0.3,4.46,3.61,0.88,0.91,0.89,9.0,3.0,2.0,14.0,0.0,1.0,0.0,2.0,0.0,1.0,8.0,9.0,12.0,1.0,2.0,7.0,10.0,1.0,4.0,7.0,5.0,0.0,0.23,0.67,0.0,0.0,0.0,0.0,13.58,12.0,11.8,3.0,0.12,0.18,0.18,0.84,0.84,0.84,13.83,0.77,0.92,3.48,0.45,8.23,6.14,0.75,0.77,0.76,14.0,6.0,2.0,22.0,3.0,0.0,0.0,2.0,1.0,6.0,8.0,11.0,17.0,1.0,2.0,7.0,5.0,5.0,7.0,17.0,3.0,0.0,0.45,0.32,0.0,1.0,2.0,0.0,22.39,20.0,20.29,4.0,0.19,0.0,0.0,0.95,0.96,0.94
537,84757648479372,2019,Manson-Fowler,ANA,pairing,5on5,7,1178.0,46.0,0.65,0.52,0.59,13.21,0.79,0.89,3.08,0.41,8.42,5.42,0.75,0.73,0.69,14.0,5.0,4.0,23.0,1.0,0.0,0.0,2.0,0.0,10.0,6.0,13.0,18.0,1.0,2.0,9.0,5.0,0.0,4.0,17.0,2.0,0.0,0.53,0.25,0.0,1.0,0.0,0.0,21.51,19.0,17.72,2.0,0.18,0.0,0.0,0.97,0.89,0.85,8.99,0.43,0.49,2.07,0.26,5.62,4.13,0.42,0.47,0.46,11.0,2.0,8.0,21.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,11.0,13.0,1.0,2.0,11.0,8.0,2.0,2.0,11.0,2.0,0.0,0.24,0.19,0.0,0.0,0.0,0.0,23.45,13.0,14.6,0.0,0.1,0.0,0.0,0.52,0.58,0.57
3396,84757648478491,2020,Fowler-Larsson,ANA,pairing,5on5,27,6077.0,159.0,0.59,0.53,0.51,49.3,4.89,3.49,11.86,1.65,26.62,19.5,4.62,4.92,4.66,52.0,16.0,24.0,92.0,10.0,6.0,2.0,11.0,1.0,11.0,29.0,42.0,58.0,6.0,12.0,52.0,40.0,9.0,12.0,44.0,17.0,7.0,1.42,1.88,1.59,5.0,1.0,4.0,93.28,68.0,69.17,10.0,0.73,1.25,1.25,4.37,4.42,4.28,45.76,3.37,3.01,10.73,1.45,26.87,19.57,3.32,3.4,3.35,49.0,16.0,18.0,83.0,4.0,2.0,1.0,10.0,1.0,24.0,24.0,45.0,61.0,4.0,8.0,39.0,39.0,7.0,22.0,50.0,13.0,2.0,1.44,1.48,0.45,2.0,1.0,1.0,82.98,65.0,65.23,14.0,0.62,0.38,0.38,3.61,3.63,3.6
7412,84746888476854,2021,Lindholm-Pateryn,ANA,pairing,5on5,8,719.0,51.0,0.52,0.5,0.54,5.38,0.55,0.36,1.38,0.17,2.43,2.11,0.49,0.55,0.49,5.0,2.0,1.0,8.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,5.0,7.0,0.0,0.0,2.0,7.0,0.0,1.0,5.0,0.0,2.0,0.06,0.0,0.49,0.0,0.0,0.0,8.3,7.0,7.21,1.0,0.07,0.22,0.22,0.4,0.41,0.4,3.85,0.51,0.25,0.95,0.15,2.4,1.73,0.5,0.52,0.51,4.0,2.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,9.0,1.0,2.0,5.0,0.0,1.0,0.19,0.0,0.33,1.0,0.0,1.0,8.03,6.0,6.09,0.0,0.05,0.33,0.33,0.24,0.24,0.23
11766,84800018480184,2023,Vaakanainen-Lindstrom,ANA,pairing,5on5,23,10503.0,118.0,0.51,0.5,0.48,69.55,6.37,4.47,16.87,2.23,35.76,28.29,6.17,6.05,5.87,64.0,30.0,42.0,136.0,8.0,8.0,1.0,14.0,0.0,34.0,30.0,56.0,86.0,10.0,20.0,59.0,100.0,18.0,27.0,65.0,21.0,8.0,1.51,2.74,2.13,5.0,2.0,1.0,128.28,94.0,89.18,10.0,0.94,1.92,1.92,5.39,5.09,4.98,73.09,6.12,4.75,19.59,2.55,38.97,29.01,5.82,6.35,6.03,80.0,21.0,34.0,135.0,5.0,10.0,3.0,28.0,0.0,31.0,27.0,75.0,96.0,8.0,16.0,65.0,74.0,19.0,18.0,82.0,12.0,7.0,2.19,1.7,2.23,2.0,2.0,1.0,139.78,101.0,104.02,12.0,0.99,2.16,2.16,4.96,5.14,5.08
2140,84768548478491,2019,Lindholm-Larsson,ANA,pairing,5on5,10,3812.0,60.0,0.41,0.48,0.44,23.68,1.37,1.6,5.94,0.82,14.2,10.07,1.36,1.3,1.29,25.0,9.0,16.0,50.0,2.0,1.0,0.0,7.0,0.0,11.0,13.0,23.0,32.0,5.0,16.0,28.0,25.0,4.0,10.0,29.0,5.0,0.0,0.76,0.6,0.0,2.0,0.0,0.0,46.89,34.0,32.32,4.0,0.33,0.05,0.0,1.69,1.62,1.6,30.95,1.95,1.86,7.38,0.99,18.07,13.74,1.93,2.07,2.04,29.0,15.0,11.0,55.0,4.0,1.0,0.0,10.0,1.0,15.0,13.0,25.0,40.0,10.0,26.0,26.0,33.0,11.0,16.0,38.0,5.0,1.0,0.96,0.75,0.24,3.0,1.0,0.0,57.95,44.0,46.21,7.0,0.38,0.24,0.24,2.08,2.22,2.2
13068,84757648482142,2023,Fowler-Drysdale,ANA,pairing,5on5,10,6411.0,22.0,0.5,0.5,0.51,56.54,4.74,3.47,14.71,1.91,31.49,22.68,4.46,4.46,4.2,57.0,22.0,34.0,113.0,4.0,5.0,0.0,13.0,0.0,35.0,22.0,53.0,75.0,5.0,12.0,47.0,36.0,8.0,15.0,57.0,18.0,4.0,1.49,2.11,1.14,2.0,2.0,0.0,106.93,79.0,74.9,4.0,0.72,1.3,1.3,4.15,3.95,3.82,53.75,4.65,3.41,13.68,1.98,30.3,22.96,4.42,4.96,4.71,52.0,25.0,37.0,114.0,5.0,8.0,0.0,9.0,0.0,30.0,25.0,47.0,72.0,10.0,20.0,55.0,32.0,10.0,13.0,60.0,14.0,3.0,1.84,1.88,0.94,5.0,0.0,0.0,119.61,77.0,81.09,6.0,0.7,1.56,1.56,3.8,4.04,3.92
9926,84764708481563,2022,Beaulieu-Helleson,ANA,pairing,5on5,2,1382.0,5.0,0.5,0.47,0.48,8.77,0.88,0.65,2.2,0.34,4.28,3.66,0.86,0.81,0.8,10.0,2.0,4.0,16.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,9.0,11.0,0.0,0.0,16.0,7.0,1.0,3.0,8.0,3.0,1.0,0.25,0.42,0.2,1.0,0.0,0.0,14.97,12.0,11.22,2.0,0.14,0.18,0.18,0.83,0.78,0.77,9.05,0.87,0.64,2.17,0.3,5.42,3.6,0.85,0.93,0.91,10.0,3.0,5.0,18.0,1.0,0.0,0.0,2.0,0.0,5.0,5.0,9.0,12.0,3.0,6.0,14.0,6.0,2.0,3.0,9.0,4.0,0.0,0.39,0.48,0.0,0.0,1.0,0.0,19.03,13.0,13.76,2.0,0.13,0.0,0.0,1.0,1.07,1.04
