,team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
522,BUF,2022,BUF,BUF,Team Level,5on5,82,0.48,0.51,0.5,244002.0,2102.45,183.66,139.99,491.88,68.26,1141.28,850.93,177.05,184.01,177.48,2092.0,784.0,927.0,3803.0,197.0,187.0,18.0,485.0,61.0,901.0,1045.0,1895.0,2679.0,221.0,466.0,1692.0,1067.0,485.0,480.0,2124.0,600.0,152.0,69.18,73.33,41.14,81.0,79.0,37.0,3812.71,2876.0,2883.25,229.0,28.9,35.64,35.69,176.86,177.71,174.97,2068.27,195.34,139.1,491.32,68.6,1116.23,825.41,188.39,196.3,189.34,2111.0,725.0,766.0,3602.0,204.0,209.0,34.0,466.0,66.0,820.0,1072.0,1907.0,2632.0,274.0,567.0,2033.0,1718.0,519.0,521.0,1982.0,682.0,172.0,62.23,84.1,49.0,80.0,91.0,33.0,3615.74,2836.0,2846.85,273.0,28.92,43.15,42.9,181.35,182.48,179.49
523,BUF,2022,BUF,BUF,Team Level,4on5,82,0.15,0.15,0.15,20418.0,69.75,8.25,3.76,9.37,2.16,20.99,46.47,8.0,8.25,8.0,78.0,13.0,18.0,109.0,7.0,6.0,1.0,6.0,1.0,12.0,59.0,71.0,84.0,11.0,22.0,138.0,63.0,60.0,18.0,52.0,29.0,10.0,1.6,3.88,2.77,1.0,3.0,3.0,109.0,91.0,91.0,17.0,0.85,1.6,1.6,7.5,7.5,7.47,369.59,47.64,32.34,78.24,12.12,221.65,117.03,45.32,47.64,45.32,369.0,140.0,109.0,618.0,54.0,40.0,10.0,61.0,9.0,199.0,146.0,315.0,455.0,12.0,24.0,220.0,22.0,20.0,55.0,357.0,87.0,65.0,9.0,10.26,28.37,8.0,8.0,38.0,618.0,509.0,509.0,8.0,8.43,9.42,9.42,46.64,46.64,44.98
370,BUF,2021,BUF,BUF,Team Level,other,82,0.44,0.49,0.48,8441.0,115.98,23.87,8.16,21.2,3.8,64.14,41.96,21.29,23.87,21.29,119.0,46.0,43.0,208.0,20.0,8.0,1.0,26.0,5.0,60.0,46.0,99.0,145.0,7.0,12.0,101.0,24.0,24.0,21.0,100.0,32.0,33.0,3.22,3.72,16.92,4.0,3.0,13.0,208.0,165.0,165.0,11.0,2.3,2.82,2.82,23.22,23.22,20.96,131.59,30.9,8.87,23.67,4.39,66.21,44.97,29.23,30.9,29.23,134.0,45.0,40.0,219.0,32.0,14.0,1.0,17.0,4.0,59.0,53.0,102.0,147.0,3.0,6.0,120.0,26.0,18.0,21.0,92.0,44.0,43.0,3.78,5.38,21.74,6.0,5.0,21.0,219.0,179.0,179.0,8.0,2.58,4.61,4.61,28.86,28.86,27.99
201,BUF,2020,BUF,BUF,Team Level,all,56,0.46,0.46,0.46,204258,1556.41,141.0,107.31,356.2,49.74,873.83,633.48,135.61,140.46,135.09,1592,592,588,2772,134,122,20,356,58,618,896,1458,2050,150,320,1514,1025,323,369,1653,403,128,46.59,48.47,45.95,59,34,41,2727.03,2184,2153.54,167,23.4,26.48,26.56,136.34,135.49,133.29,1784.91,165.9,124.29,407.95,58.61,1026.33,733.85,159.55,168.32,161.82,1889,670,640,3199,196,137,39,439,73,771,943,1693,2363,160,336,1540,1009,290,400,1949,450,160,55.42,55.39,55.08,74,63,59,3272.61,2559,2613.69,183,26.96,29.57,30.28,159.77,161.93,158.3
204,BUF,2020,BUF,BUF,Team Level,5on4,56,0.85,0.88,0.86,14142,187.36,21.4,17.33,40.38,5.87,113.99,58.28,20.63,21.4,20.63,192,69,68,329,30,21,3,40,5,96,69,162,231,3,6,145,15,7,41,191,46,24,5.27,5.42,10.71,7,8,15,329.0,261,261.0,1,4.46,3.29,3.29,22.37,22.37,21.84,30.8,3.76,1.84,3.75,0.82,9.53,21.43,3.75,3.76,3.75,35,8,2,45,3,0,0,0,0,12,28,32,40,5,10,105,35,27,19,28,9,6,0.88,1.21,1.67,1,0,2,45.0,43,43.0,18,0.43,0.0,0.0,4.06,4.06,4.05
203,BUF,2020,BUF,BUF,Team Level,4on5,56,0.08,0.1,0.1,13503,25.13,2.01,1.18,3.45,0.72,8.1,18.6,1.98,2.01,1.98,32,3,7,42,4,1,1,2,1,9,18,28,31,5,10,112,42,21,7,24,9,2,0.5,1.05,0.46,2,1,1,42.0,35,35.0,6,0.27,0.21,0.21,2.01,2.01,1.99,213.12,22.4,19.14,45.46,7.43,138.92,71.91,20.95,22.4,20.95,231,78,87,396,28,21,11,50,5,116,89,203,281,3,6,120,11,2,20,235,46,28,5.45,5.07,11.88,10,2,16,396.0,309,309.0,1,4.86,5.8,5.8,21.2,21.2,20.29
722,BUF,2023,BUF,BUF,Team Level,5on5,82,0.48,0.51,0.51,242845.0,2051.68,168.58,133.19,508.3,68.48,1112.69,836.76,163.53,168.07,163.04,1977.0,851.0,1096.0,3924.0,175.0,190.0,27.0,410.0,7.0,1003.0,1043.0,1802.0,2653.0,265.0,582.0,1600.0,1606.0,436.0,414.0,2183.0,478.0,167.0,63.76,58.74,46.08,92.0,59.0,24.0,3893.03,2828.0,2808.78,219.0,27.57,38.51,39.33,156.82,156.28,153.97,2023.19,181.85,132.84,505.68,67.75,1077.4,796.47,174.39,184.31,176.72,1844.0,918.0,1059.0,3821.0,159.0,234.0,21.0,391.0,4.0,949.0,1025.0,1685.0,2603.0,244.0,528.0,1907.0,1951.0,489.0,465.0,2020.0,555.0,187.0,58.52,71.15,52.18,71.0,56.0,32.0,3873.35,2762.0,2795.7,233.0,27.67,45.57,45.57,163.95,165.95,162.78
144,BUF,2019,BUF,BUF,Team Level,5on4,69,0.82,0.86,0.84,19463.0,255.04,27.89,22.93,52.23,8.05,165.91,84.99,26.87,27.89,26.87,260.0,102.0,100.0,462.0,34.0,15.0,4.0,53.0,12.0,143.0,105.0,226.0,328.0,10.0,22.0,166.0,26.0,11.0,46.0,269.0,66.0,27.0,6.32,7.48,14.09,9.0,9.0,16.0,462.0,362.0,362.0,1.0,5.85,4.19,4.19,29.56,29.56,28.48,53.28,6.18,2.78,6.95,1.57,16.87,36.65,6.15,6.18,6.15,62.0,9.0,4.0,75.0,7.0,1.0,0.0,4.0,1.0,10.0,48.0,55.0,64.0,3.0,6.0,168.0,61.0,42.0,38.0,45.0,18.0,8.0,1.37,2.71,2.1,0.0,3.0,4.0,75.0,71.0,71.0,37.0,0.65,0.01,0.01,6.82,6.82,6.78
524,BUF,2022,BUF,BUF,Team Level,5on4,82,0.87,0.87,0.85,25043.0,345.58,49.04,30.51,71.58,11.56,207.86,107.45,45.26,49.04,45.26,362.0,116.0,143.0,621.0,56.0,36.0,7.0,63.0,15.0,166.0,142.0,306.0,422.0,27.0,54.0,208.0,20.0,11.0,65.0,315.0,103.0,60.0,8.53,11.95,28.56,10.0,17.0,29.0,621.0,478.0,478.0,8.0,7.97,7.85,7.85,49.17,49.17,45.83,63.82,7.35,3.62,9.37,1.93,20.47,42.26,7.17,7.35,7.17,66.0,19.0,6.0,91.0,5.0,2.0,0.0,5.0,1.0,14.0,58.0,61.0,80.0,15.0,30.0,218.0,67.0,75.0,33.0,57.0,16.0,12.0,1.61,2.27,3.49,1.0,3.0,1.0,91.0,85.0,85.0,31.0,0.83,0.67,0.67,7.51,7.51,7.43
140,BUF,2019,BUF,BUF,Team Level,other,69,0.47,0.55,0.54,7592.0,113.8,22.74,8.51,19.79,3.88,64.68,36.53,21.89,22.74,21.89,114.0,44.0,49.0,207.0,24.0,14.0,6.0,23.0,5.0,49.0,43.0,90.0,134.0,5.0,10.0,84.0,22.0,12.0,18.0,92.0,35.0,31.0,3.82,4.07,14.85,3.0,5.0,16.0,207.0,158.0,158.0,4.0,2.44,4.1,4.43,20.62,20.62,19.98,96.29,25.88,6.54,16.08,3.33,52.16,31.07,25.15,25.88,25.15,100.0,36.0,34.0,170.0,30.0,6.0,4.0,13.0,3.0,47.0,37.0,70.0,106.0,6.0,10.0,100.0,29.0,17.0,16.0,73.0,26.0,37.0,2.91,3.13,19.85,7.0,4.0,19.0,170.0,136.0,136.0,6.0,1.85,2.6,2.86,24.8,24.8,24.29
